summoner_name,rank_tier,lp,win_rate,region
PulseZeTanuki#EUW,iron,1,,euw
Enzozo#213,iron,1,,euw
UPS MaToutPris#Lflex,iron,1,,euw
shmitai#6655,iron,1,,euw
Aizensko#77003,iron,1,,euw
HOSPITALIZADO22#Mora,iron,1,,euw
FaithAlbright#135,iron,1,,euw
WarriorJar83#nite,iron,1,,euw
TheDi#DjDi,iron,1,,euw
YoJebs#313,iron,1,,euw
mocrota#gavno,iron,1,,euw
Nekkobullu#1901,iron,1,,euw
BMW M3#3169,iron,1,,euw
trueDMGonly#badro,iron,1,,euw
redu#1616,iron,1,,euw
Tzamia#9615,iron,1,,euw
M8 GodOfGacha#5422,iron,1,8%,euw
Minimax#4812,iron,1,,euw
oDonell984389943#Mr838,iron,1,,euw
Hellya1305#elya,iron,1,,euw
nesquik309#nsqkk,iron,1,,euw
OldManWithAStick#2258,iron,1,,euw
Auralys#5346,iron,1,,euw
Miloud#9999,iron,1,,euw
LaYA34#53454,iron,1,,euw
B0udadiibo0st#8865,iron,1,,euw
Zass#2for1,iron,1,,euw
Noliraf#4585,iron,1,,euw
Blanksorashiro#6721,iron,1,,euw
polteergeist#0013,iron,1,,euw
NiKo#FCG6,iron,1,,euw
Supermonkey14#1414,iron,1,,euw
MonsterItachi#1744,iron,1,,euw
BuenasMananas#3000,iron,1,,euw
hipertensiune#2929,iron,1,,euw
alhexs#SFC,iron,1,,euw
Pyke69#8697,iron,1,,euw
BACAKKOPARTAN54#BELA,iron,1,,euw
Suceurdepierre#1509,iron,1,,euw
WhiteSentinel123#3435,iron,1,,euw
DarkKiwi#moc,iron,1,,euw
OhPEYZO#2289,iron,1,,euw
iotrix#one,iron,1,,euw
Cariiih#122,iron,1,,euw
M8LEGAUTH#5422,iron,1,,euw
フレンドください#shiky,iron,1,3%,euw
frogenstring#0726,iron,1,,euw
honoratus unum#SorG,iron,1,,euw
Épicé#ABEY,iron,1,3%,euw
iqu500#EUW,iron,1,,euw
Sil#0023,iron,500,,euw
Xeyanh#ducks,iron,500,50%,euw
EL QaZi#Goat,iron,500,67%,euw
UniiC8#EUW,iron,500,60%,euw
karlc26fr#6941,iron,500,60%,euw
IguanaCoquera#5012,iron,500,60%,euw
0sxidg#Gato,iron,500,60%,euw
JoseSYDA#EUW,iron,500,60%,euw
DoWnDuCloWn439#EUW,iron,500,60%,euw
savinho1004#EUW,iron,500,64%,euw
eslamgamal99#EUW,iron,500,52%,euw
yamato wb#DBZ,iron,500,40%,euw
Georges Russell#GBR,iron,500,59%,euw
GoticoCulon#BTTM,iron,500,60%,euw
Thomasdem#9505,iron,500,60%,euw
Marinpro19#EUW,iron,500,60%,euw
Craque#XVIDS,iron,500,60%,euw
tifricuiu#EUW,iron,500,60%,euw
livitrixie#6516,iron,500,60%,euw
Tkt Neo#EUW,iron,500,60%,euw
BadrSaga#0517,iron,500,100%,euw
narukenx#EUW,iron,500,50%,euw
NoobWithBoob#uwu,iron,500,60%,euw
Toxasmico#EUW,iron,500,58%,euw
Nas#89012,iron,500,60%,euw
Dalamannen#EUW,iron,500,60%,euw
oukhty93#4345,iron,500,60%,euw
laprenticouillle#EUW,iron,500,60%,euw
Der König#3016,iron,500,67%,euw
Maréchal Pitou#1664,iron,500,58%,euw
Mickey1er#EUW,iron,500,54%,euw
MindKrystal#EUW,iron,500,60%,euw
捕娃玖崇 女瑠崇田剝園#speed,iron,500,60%,euw
GreezyB#EUW,iron,500,40%,euw
XΛPHYRIΛ#EUW,iron,500,62%,euw
Farper#6204,iron,500,60%,euw
chichimoya#4269,iron,500,60%,euw
Ragedmage2#EUW,iron,500,60%,euw
HerrSchnurrer#1410,iron,500,60%,euw
harrachich#EUW,iron,500,60%,euw
Salisiko#EUW,iron,500,60%,euw
Askqtte#01234,iron,500,64%,euw
Kalex#1507,iron,500,50%,euw
AmbraP#Ambra,iron,500,62%,euw
dasnicku#EUW,iron,500,60%,euw
Bradopito#1111,iron,500,60%,euw
YarakObama35#1556,iron,500,60%,euw
SiX6 Z3R0#six,iron,500,57%,euw
traksiiii#EUW,iron,500,60%,euw
Akira Toriyama#midou,iron,500,60%,euw
edi13#EUW,iron,500,60%,euw
eta04#1988,iron,500,60%,euw
marcydelpro#EUW,iron,500,60%,euw
Ojohnjey#4267,iron,500,60%,euw
Gooober69#EUW,iron,500,60%,euw
Destiny   운명#12Aug,iron,500,62%,euw
BlackBooooooty#EUW,iron,500,59%,euw
JagÖgar #EUW,iron,500,60%,euw
Ermorenus18#JACK,iron,500,61%,euw
Danisaco#4949,iron,500,60%,euw
budimiiiiir#EUW,iron,500,60%,euw
JustBAD SneeZzL#BAD,iron,500,60%,euw
nuno99fr#EUW,iron,500,60%,euw
oskivarela#1899,iron,500,60%,euw
セントマイケル095#EUp,iron,500,60%,euw
Zucchetta#EUW,iron,500,60%,euw
Lentejas#Jesse,iron,500,60%,euw
Ferbuckson#EUW,iron,500,60%,euw
FairyCrossFire#3383,iron,500,57%,euw
PomaresYT#AFK,iron,500,57%,euw
P3R50NNE#EUW,iron,500,60%,euw
YumeNikki666#Koko,iron,500,60%,euw
Berliniheb#28882,iron,500,60%,euw
berevaleska#006,iron,6,60%,euw
granizia12345678#EUW,iron,500,60%,euw
MOHICAN066#EUW,iron,500,62%,euw
TolliePicsViData#fer,iron,500,60%,euw
Trezaloi01#EUW,iron,500,60%,euw
PiZzAeSel#EUW,iron,500,60%,euw
Xayahbird420#EUW,iron,500,60%,euw
Navonod19#9708,iron,500,60%,euw
KellysHeroes#EUW,iron,500,67%,euw
Ben 0ne#EUW,iron,500,62%,euw
Allrush#UWU,iron,500,55%,euw
KiwiOFSpirit#EUW,iron,500,61%,euw
Kenma Kozume#1907,iron,500,55%,euw
Dankerena#PeBSq,iron,500,60%,euw
SirFiStIc#YtHUb,iron,500,62%,euw
Golmur#EUW,iron,500,62%,euw
DarkXAndy#EUW,iron,500,64%,euw
Nocurse#EUW,iron,500,60%,euw
slide83000#EUW,iron,500,57%,euw
Codon#EUW,iron,500,67%,euw
Wolfen767#EUW,iron,500,64%,euw
Aylayani#1111,iron,500,56%,euw
LemonsAreSigma#42069,iron,500,50%,euw
ZKR#1555,iron,500,46%,euw
AlbiDickieeez#379,iron,379,69%,euw
LaSavane78#78190,iron,500,53%,euw
MentorZanuka#Zizbo,iron,500,57%,euw
Sil#0023,iron,8,60%,euw
Xeyanh#ducks,iron,1,,euw
EL QaZi#Goat,iron,1,,euw
UniiC8#EUW,iron,1,,euw
karlc26fr#6941,iron,1,,euw
IguanaCoquera#5012,iron,1,,euw
0sxidg#Gato,iron,1,,euw
JoseSYDA#EUW,iron,1,,euw
DoWnDuCloWn439#EUW,iron,1,,euw
savinho1004#EUW,iron,1,,euw
eslamgamal99#EUW,iron,1,,euw
yamato wb#DBZ,iron,1,,euw
Georges Russell#GBR,iron,1,,euw
GoticoCulon#BTTM,iron,1,,euw
Thomasdem#9505,iron,1,,euw
Marinpro19#EUW,iron,1,,euw
Craque#XVIDS,iron,1,,euw
tifricuiu#EUW,iron,1,,euw
livitrixie#6516,iron,1,,euw
Tkt Neo#EUW,iron,1,,euw
BadrSaga#0517,iron,1,,euw
narukenx#EUW,iron,1,,euw
NoobWithBoob#uwu,iron,1,,euw
Toxasmico#EUW,iron,1,,euw
Nas#89012,iron,1,,euw
Dalamannen#EUW,iron,1,,euw
oukhty93#4345,iron,1,,euw
laprenticouillle#EUW,iron,1,,euw
Der König#3016,iron,1,3%,euw
Maréchal Pitou#1664,iron,1,3%,euw
Mickey1er#EUW,iron,1,,euw
MindKrystal#EUW,iron,1,,euw
捕娃玖崇 女瑠崇田剝園#speed,iron,1,6%,euw
GreezyB#EUW,iron,1,,euw
XΛPHYRIΛ#EUW,iron,1,,euw
Farper#6204,iron,1,,euw
chichimoya#4269,iron,1,,euw
Ragedmage2#EUW,iron,1,,euw
HerrSchnurrer#1410,iron,1,,euw
harrachich#EUW,iron,1,,euw
Salisiko#EUW,iron,1,,euw
Askqtte#01234,iron,1,,euw
Kalex#1507,iron,1,,euw
AmbraP#Ambra,iron,1,,euw
dasnicku#EUW,iron,1,,euw
Bradopito#1111,iron,1,,euw
YarakObama35#1556,iron,1,,euw
SiX6 Z3R0#six,iron,1,6%,euw
traksiiii#EUW,iron,1,,euw
Akira Toriyama#midou,iron,1,,euw
edi13#EUW,iron,1,,euw
eta04#1988,iron,1,,euw
marcydelpro#EUW,iron,1,,euw
Ojohnjey#4267,iron,1,,euw
Gooober69#EUW,iron,1,,euw
Destiny   운명#12Aug,iron,1,20%,euw
BlackBooooooty#EUW,iron,1,,euw
JagÖgar #EUW,iron,1,3%,euw
Ermorenus18#JACK,iron,1,,euw
Danisaco#4949,iron,1,,euw
budimiiiiir#EUW,iron,1,,euw
JustBAD SneeZzL#BAD,iron,1,,euw
nuno99fr#EUW,iron,1,,euw
