match_id,team_id,team_won,gold_diff,damage_diff,kills_diff,deaths_diff,assists_diff,vision_diff,turrets_diff,dragons_diff,barons_diff,cs_diff
EUW1_6829804360,200,1,8812,40472,9,-9,11,-51,4,3,2,63
EUW1_6829894466,100,0,-5905,23121,-14,14,-19,16,-5,-1,-2,23
EUW1_6829894466,200,1,5905,-23121,14,-14,19,-16,5,1,2,-23
EUW1_6830073188,100,1,7244,9617,11,-10,16,15,2,2,0,87
EUW1_6830073188,200,0,-7244,-9617,-11,10,-16,-15,-2,-2,0,-87
EUW1_6830115577,100,0,-10697,-17192,-18,18,-23,-46,-9,-5,-1,-100
EUW1_6830115577,200,1,10697,17192,18,-18,23,46,9,5,1,100
EUW1_6830137121,100,1,8480,17449,15,-15,14,-59,3,2,2,-2
EUW1_6830137121,200,0,-8480,-17449,-15,15,-14,59,-3,-2,-2,2
EUW1_6830187587,100,0,-11752,-16295,-17,17,-31,-22,-8,-4,-2,-17
EUW1_6830187587,200,1,11752,16295,17,-17,31,22,8,4,2,17
EUW1_6830239409,100,1,356,26390,12,-11,-20,-34,8,3,-2,70
EUW1_6830239409,200,0,-356,-26390,-12,11,20,34,-8,-3,2,-70
EUW1_6830276278,100,1,8104,6418,19,-19,18,10,5,0,0,0
EUW1_6830276278,200,0,-8104,-6418,-19,19,-18,-10,-5,0,0,0
EUW1_6830317725,100,0,-13706,-19975,-23,23,-31,-28,-10,-2,0,-84
EUW1_6830317725,200,1,13706,19975,23,-23,31,28,10,2,0,84
EUW1_6830364939,100,0,-9689,-27096,-5,6,-20,-50,0,-2,-2,-160
EUW1_6830364939,200,1,9689,27096,5,-6,20,50,0,2,2,160
EUW1_6830481319,100,0,-15674,-28133,-19,19,-10,-14,-10,-3,-1,-183
EUW1_6830481319,200,1,15674,28133,19,-19,10,14,10,3,1,183
EUW1_6830551415,100,0,-14697,-30889,-30,30,-29,-39,-8,-3,-1,-18
EUW1_6830551415,200,1,14697,30889,30,-30,29,39,8,3,1,18
EUW1_6830855745,100,1,7058,15558,9,-9,-23,41,6,1,3,79
EUW1_6830855745,200,0,-7058,-15558,-9,9,23,-41,-6,-1,-3,-79
