puuid,summoner_name,tier,region
Nv-xAxP40uLz2b12DYPKxSRNMuT0Dw0oceXN6Rznzdjgpk_Bi9qonoiwxwa5CfYblzqMUBSk8xLakA,Soporte cuñao#AGLR,Master,EUW1
AHMFeBK1QTG4IeFGdJBmG7piFhC4N7SJXV26rqrk5DcIipl_D-gYMu4sd6KpYc0r610HOMb-6YzzlQ,Toffe#ren,Master,EUW1
mBlwmf5fxaVVPT5FzVdtYAwQv24N9Lu4FmZHCXxQeXV_8lxacv7Fgdk95sb89DRE5rRR3tz0bdX65g,Vouty#1211,Master,EUW1
WiMp1hcgWDT47iEBOqPhtgeL78FnoS3lIBC78jw-e-xqVvEGPheMlNP9AnT6WwdcGQlvzC4SJ6fNMQ,SeRiN1#EUW,Master,EUW1
kzXJfQOCWR2VvxaqRZuz6lCx80cRq9tgrZnxDRf2_3PU1mOGtfXrPR7lex5UFeljzpmW-wdNy1uing,Husum#EUW,Master,EUW1
w1JAOR0P60hrOHzFr2CGluucgNB6hmBmwPbkpz3x7Xi7i6ER3yLJwBL0R0f9PJ1xRJY2XkuemDYHmQ,Lust#9032,Master,EUW1
xorwZ7nLlVK-Csp73mruE6oidyBc0nipE1K6Na3FaD4Ko7pjZekGQvBpLENFQzMzSLdGadGheBhAUQ,Reeker#KZN,Master,EUW1
mJudoK1M23ty6rupVQn5ZqHWk2rOGY_xyrZgF0uB5QJ4lwCqn619t6KGQ_4TPutxJClnt77DCMtuow,kileris10#EUW,Master,EUW1
SeA1ulfsB4bqCyKwu1reLTJwgBMiqZWPW7KD6SP0t9Z74CVGNMvqC_aaOzAh0B4E__Bo3s_LCojJ7w,vows not empty#fear,Master,EUW1
CcJaVF4oEF3VPdX0SguEiMdh0XNdc3H2mqfo69ya2rsjeA33jXJ-9NzvNC7KPNausTe1Vp3eyPbIQw,Creepano#gfghs,Master,EUW1
d82C6IAke55j-dwwnAB5W3i-lQJ2O5nAtVUPgLMTdEz3oXKiYcGzLZkPZM3GC12C08k6OvfrjG-tHw,DarkPharaoh#TTV,Master,EUW1
lwpuN3S12nCoJg2abgF5niV0X213U0Lxmx2p17bs0YCnR0xcx8EbPi4oHKEX0NZpB1V6kVjod0YWlA,pesh#pesho,Master,EUW1
GPCwmQQLuWJG_yIP0yXLt6svajtckbza09-hsqE0mekKVSvZbn1NeLwFfvgj9Dgw79A3Z7gZhDPB2g,Zefath#EUW,Master,EUW1
yQ_8o9G_HW2IXMW0f3sUvtWmcVnrkP1_dwxrdlSGSneiuT0RBGUhVWw6OcoiUHgyuuckfTN_HK67fQ,ginsengstacy#EUW,Master,EUW1
8BPFKdEja3f0yk-uQEY32UNHjQr4ocDLf2CQ0twyJwW9p0rzDDI5YngvppM7liUTYu6JL16_2EX_Fg,i cream in peace#daddy,Master,EUW1
XS0C81iHLwJvlTPBtRSiKVeFKVPgXA42M1rhe8sIbRQJJvuYEq7wRtBrNtd4-KTkqM4B6JugkNAysw,Napoleon#Carn,Master,EUW1
y3HFdIMc-nqucjHd54358MHYLQ4VhhzWFMAism8s4CkdVMbb_7pZr9t1vCTyidILkEG9vCQRzFtrZQ,KREOX1#EUW,Master,EUW1
HGipB13ncEJmznOpooJYmh4oy5YKMyKXohqH9XmbONbHWYmHW1jXYk7CjM4sFfQCTzppJKHxlc7VOQ,G2 Jankos#unc2,Master,EUW1
rX6UoMAtomQqYEy1e4RKQwZxyR4cDP0X1HHMoCniM0P7qwu48uL_2R-unjLcrgrj5flAxGINrO_VxQ,MadScientist#TTV,Master,EUW1
BbSsGzoHtm8xBbsvjSJzcDzpNoJLFgFp7QdxJsj7SCc8IUyQzA3A8vTSbFC8-HryK-NmeflwVsePLw,Rayzorac#EUW,Master,EUW1
4o_Vq2-P9iCfy8XcAt8-PFhYkEgM-0CJFtqO_cDvuDbpG0ekuknZSQihWd6areMHohKf3vYvv5nOQg,sajat2004rCZLPYT#ZUBRI,Master,EUW1
2PthUlOKTZRwp01L9QXxmVS6DjXSXdBq9ojgmaGNPw0nQdj3gM8tjF-XrCD94_2duMnT7eL11S9Mdg,Nilsog#EUW,Master,EUW1
ZKxQySMn6IInx46AxMn6STM86R7DvtJHc68YKLBqq6qhH4fBEb46L23-3rcagnO4R7VyLL_w_FZQLA,MélyaP#SYHA,Master,EUW1
V9wkT3TYnpOchmjlJlkuPjnxjq8yxhMHlo017Ta-PLvDXja7-oDe3_zy1bo9tzuSy6J0lIeOvOuFQA,CROmpir#11111,Master,EUW1
oloyZ4QviRGh_pQ0KKC5Z5ipBe8SfCG566u2TtqMUW5OMOibxTVCQ8OTws5CEpHQ7dG3uTd9OLeUdA,Nochatonly1v9#inv,Master,EUW1
dl-RU8riXrvJsYK6n0dkM1X6gqxYVTUufoQowTtjqZLpfuxNFqFN8qbtR4DsYo3OJS_bcty8fUY7cQ,Relative#00002,Master,EUW1
GmbvUI3fy6GZ_dUl7JFwvlFhbHmS5ZoQbIED03BxDQR1OBZw3S3kFAn7p9KZ0xOsohHWHWatIs3tUA,Afroboi Adc Acc#Afro,Master,EUW1
vQgCK_PCADeU4YjTXFcLhMsGhSaU2eRbDNVm3IfcrNazoXw7PhSbeuDyxgHp4OX9CpmqpwUO7UJe5g,PAPARA ARMUT#123,Master,EUW1
2Z3Glhk4n4pRdTznSjDWpmwklQxFTbmcpCEAyWBKvDa_3CfFSvPqayUf3Rg17uwIYdT0AQZtJvjhOA,RIP KRYSIA#REST,Master,EUW1
6wsruJ1CWGCuA33J82Ac2KkTmSMq_5ZcyDuoIpyFermNIM0gbGom2S_U5YlL9X__UZXk42XSApc4iQ,CHINESE PALCO#NA1,Master,EUW1
lQsusH7YtY7uB_JBHo1Y4PAzCaRnhyobudg6ta_iKw-72p1eK1CmEHpTmNOIV3VfLlgnsAqkEMX3JQ,VeigarV2SmurfAcc#123,Master,EUW1
9DuGKu-WouQPmOJAqRJ1Vk_ldOCTwwbHWaqLZIwxLL8-fqesP-JBVZU6XMBnfarEbe-8sZkjvbPsEA,DizL#2297,Master,EUW1
9YHv2E4_UX05G1qqtj7_eQ0FZrcykYEfvJqPjGwWYq4Dq0lIDjBijWlwiWN6B9i6gsH9_JFvAgSW5g,IsAiSDaAS#123,Master,EUW1
Ww1epe7b0OuCP86beZvLLvxX-YSNkdNhM0j_7pZsG-sD33epvkE2yvV8gH-EHe0OJou17OEjN_zZoQ,ttv ronaldoo#123,Master,EUW1
Im-Dy-ndy2IHpkUsiZHPy05Bj_-qrjNCUlEQX83XHFqLR1lSkgrMdXBeyoy-9iLXDLOu9m0V7ycg6g,ツツツツツSツツツツツツツツツツ#ツツツツツ,Master,EUW1
EUnfdFbgQX5wqAcxl8ZwIYm9ceRTg2uKQPQJv8xxw0reN5QpdSKTwMtk7KpO4smq-ysP1no3pOwZhw,Zigga Nilean#TR2,Master,EUW1
VtUKkGfsgiJGHtTDWehTvGVS60OpdouBf-CZP3YvcpdHi8siFMa9xs3NZj6xRBDNidiCE_Jk9fTn3w,plant#ficus,Master,EUW1
WeXxAme_Xo9oObC41prLg-K5HdVEglGzHc7rtSPOINZ5OTSh8Wp4J-4XbeucRhfyQ3ejYNT_YHnSjA,Hyposelenia#0307,Master,EUW1
ufU-xK5ToGyqYbg_F2OtShigMMaY9QDEs1zponWZBEIXwrPyz7MVHqkWVwMBSxgDuykNa7Y-5fTTEQ,Ayvenax#EUW,Master,EUW1
vRzqPM_Aaews7Bx5TMKQkPVcsEeeG_pIpjjU3SLge3H7pNODBbFksmkO5Zqj7lmvOiWU4AN1PRUbew,MaizenDaeda#veke,Master,EUW1
YlISE-J-oGu27CCsAvQ_qgrD7Jdp3K_TLlMoLU33tnOvPkLbrQlyv15hyBD-RpLyBsfBQ_atc9qEtA,Merracebear#EUW,Master,EUW1
Twrlpk_H5mAXOt-AwefVU9tEF5Lu1d5nVY-0mdOti4OTQEmoomxjhriBHBop_v7-0mPMa09ktgYDTQ,Elow9#ooooo,Master,EUW1
_JNadmU0_6UlGAE_YuWRCs-9Q6aki4jFhhnRwu_AJRJLAF2jzpEcjdPPi3i5BqM-v-rPn4yjiKk47Q,TWTV DETDERT#12MAJ,Master,EUW1
91nwQiCDA-K7Dljn2oGPCTEdi9RGMsA6uvlS6y7NCbzgG6-7Gpwp4JPZwd53M6blDqc75JI3zSIFgg,love race#mgk,Master,EUW1
jspLBjRLDexzyZx0ylkIifff6Hsi67npdr0KLKminM3ZpsDzgcJX9E26t0cjKrRGWLSsK80MJVL3Wg,NoGodComplex#back,Master,EUW1
EgJagHy42Ln6r8fdGy2FV7QSoQ0auCrt4a1_RuIOuhu35jZuoFEcEwuq4m1FzPt1rb6I48OGS24vgQ,ЯУUVΞN#悪魔 ツ,Master,EUW1
-GqRcYpLc5fZ33Cnmx2ikkKvt0_ZIN3lXhzne3etlESyZBWCQ5Lrxe9Trm5lpAbajqSvVsPbtOve6g,free palestine#mune,Master,EUW1
IzBa6U_6C3jRRKROeQaDWxp8UzZ-HQYo6x-S2z474kYeofV9nS6crRAVaqV6gXIHMbClnNbmPEk_-g,Looki#KCBS,Master,EUW1
o-OCZcn6tOtlzfPu_XGGN8sPiHmDdg0b_yYb5P_Klleb-iZWZWlrvOpTwHGSzZhh7BEN5JybmaEJ4Q,Ptit T#FCE,Master,EUW1
HV8l0S0uzOjU2XwxoBqbXBwjcyXQJlGGGnkSUAaxEL-C9npvk_KWT_Veg3A7wLgR4KCeYUK5s-WLsQ,Haster#EUWz,Master,EUW1
mTfSKWb4OSQAgXPobcK0PbE8ZiSQpzDH0YDj4tIWP6VEUm9pV2tZWqOH0ffWU8f8vNlXqV5Awv66eQ,Shieda Saeeun1#KAYN,Master,EUW1
HoIkZe3MCEs1rHu7F0vVrOqTPJMu3enDoPi9Sn9N1DunGLEqzcMmLCKirkvhYHrGtYiW1MfaF0H5mA,TTobias lol#feet,Master,EUW1
WNiBac5jRj8PhPcUSNscVJ_k5r0uY_Hqe8cHVM2EPO7EBDoT7fy4sJ_Vwj9JOh6MzrgJKYcsNgWN0Q,EltonhW#EUW,Master,EUW1
h7VWA87EAenLCyqGb6oW0E2Ut5xiVcFMy03a5B7Jj1UXrH1AUq6YY7yM35rXE1nQqDZo4uxSfApTMQ,sontik#dani,Master,EUW1
Z08K3hQ4duzUDz3SR_KFhw8q8WZKpiTYq_9k9CpOlkak52EmLKtvEIvf1gNn0ZVsH0jX7ifWjlP_0w,Mysterias#EUW,Master,EUW1
UI6z4wg8fice0WLoMntidTW32EPd_VSlk-wnWADrd9_OD4RfUCk517DOE_36CDRROt0niGtkj4ADzA,ShakkOma#N94,Master,EUW1
umPzkxwxajAP-ut5bVcSXpzH-NZEppb91mdMEaGu_Ud5vDBIX8j_Ij7QEldDKBcCTvQdGY9fIlJMig,caddefiftyninea#59A,Master,EUW1
Rm5Y1K4eSsHdT3FVXZUwkW2PogO00IibDrR3IF_x9Te3HUytSgxmys9OfjxprwdyVBp6ncVCem9jlw,twitch Hnry32#CN1,Master,EUW1
11KFJeiHwYEoBz76qZ47Yz3OWtfXLLDESqV9tO9LZQG5wpfzzZkC3B3xwYCJcNH1EEe3V6ua-2SP3w,ZYB BDD#CEO,Master,EUW1
