puuid,summoner_name,tier,region
ney3E9eWVaFO8G2_Lq72yuErs8gO-2HwkCdNLiISz4Wr1ZfrQPvje64UK3kDyXHlXVOoDwZSXZ2PIw,20Lucky01#EUW,Iron,EUW1
DwN5uM2iKkodA9G9eMcg4Oq7CVbpNQc3B_2g4UJ9iOblW3C8jzjXB8vsozsrvKLBKgHK0NfANVPy2w,Pinpin#YUUMI,Iron,EUW1
cmWegwxMVnm4Tno7dFtxcTUpQlbdNaXSmonC_j7LWGpuGLX8JZBdWk4i2UfP9SoeEslTCxHqtm_Okg,Stormdaddy#EUW,Iron,EUW1
9HaIeEqbMNYfuhdF43LlGKjbrlM5Xbu4RpJsAReb3wlhx-NqZCixY-XH7n6kdfqUp54oP0Iq53fTuA,яx7#ЖЖЖ,Iron,EUW1
x0aVZn_Z8YofLwNHDKY_GOjx-gplbtpKW5W4YUuFNc3ZYPKoCEo7u6EYpdctWGUgsZHzUB4CwMnW0g,Kenzolone#EUW,Iron,EUW1
S6rHPgl8zSHSY1OVNMujcMopOD6nppEgNQb7vhAK_PyAvPDs3j_Y3vGCLnJDe59ccehl_VxmWkGEQw,XelarebornvE#EUW,Iron,EUW1
A6n8vR5qgoIRFtbEWquz43-t_1LT-PK-j6VVaDgZJLXJBbkTCq8ZutLLoITmt9DiXb_oqyOqIsmJMQ,Kiu Oho Yai Jang#EUW,Iron,EUW1
LpK4Er_O1JyDVGat9RIiAvtFG1MAI937Ptmn1vz8NDXl02kgTjPOb40NvmexevOscdwTxFngTXPqvw,SEEKER#7777,Iron,EUW1
611Foe8drBW1H7fi9YV3JeEuoHnQzrG3bUi3pcdM_xE-0N6KsFL-K5iR3hIQHKCuL1FlNrhmbbrRUQ,Worst Nightmare#GOD,Iron,EUW1
hlLfkceo86F74uFxXETctYRwNllns15wMm0XvlkpD9Cl2X3w6N_mer0_0hdjDzGVde_Dq2-GCtT6Dw,CATCHAWWW#0198,Iron,EUW1
Shm9l4zxtLaYJRwcw6y4qlx09npfgDGASPYhQwXJ_IL3V_BOH50RpFECL_FX2yc27_O8Q--OBJjPTw,matteobert#EUW,Iron,EUW1
cpgDhdrQmz73jMbWPbItFPIAuc162c9WT_3sg-KxoGBDGlr5wfVUhLKBp6Z-JbWPfHeAnAanJDHdTg,Lormar#pro,Iron,EUW1
S1sknA8CMmLrn_wxjhB68zrYVOSkWvF3z64q-7gVpw_SwI6EUxEx-hkLUwLwu7tp7DjctMGtTp_Qug,DarkRise#2026,Iron,EUW1
v9Ink4H7yNWtTq5IUifP_DZdrEbJx5OuTMGszhVW3PIIUyCqVrN_ShGslkQhODN0UpfwNsRGX2VCww,IdarTheBeast#EUW,Iron,EUW1
E4rPPPtquedu52yz_Lkh3yvlkvc0WFizM6xin02BqoFxrk2Cl_ApFkkZanXuVPiICalYPxANeBGNRw,AndréRoidPhd#Artif,Iron,EUW1
fSpXPwgutrlX9-sCw229-EKjlN1JFKn6g48lC92gOvqjTk2_kxgnng0uzpBxZmKp9MnqcbjT6JUHfQ,DOMLiZ#EUW,Iron,EUW1
4WcgIRUaRQY3IDaD7Ybzp-mNY1HGPGy0XyMSQCb8yUg0WPIV8L14-MepKyEq2IRoVANGJh-c082ZJg,maNekzzz#EUWes,Iron,EUW1
TCpR9Vj2TU2pgzecyb3jhsfHle8x6dNXqTr4V0khOI6kjVrWsSnIUcTn7XyQar7xZlmnlHkZmH9t8Q,oregon23#EUW,Iron,EUW1
5C8ZdvX3XmoprJ37iKbidsNCTNH4QgTYS1EF2rXZOBlkbRlhpzRV_T6kxQF5M6pSEvBGddbusW4nvg,MjrBezef#EUW,Iron,EUW1
7OKZFWmNTXGMeSJJaP90zcdbnXem6u3HfzCakYcz62SjWaD0yAfPk7JwczZr9k6SowXnH-Jlq8cOEw,GranCapitan#JLGC,Iron,EUW1
k1L53d1aYTdIP_MEmCwKKo-b9DOzGOX6VjhjHdmLgIa5nYi7k_OxkR6B6_gQ2MgWBzAg-92AhcFP-g,skydrow17000#3254,Iron,EUW1
6lx4zmzYv-9lXn4K9DI0iFWiI2L_ODB_XHp4wrjMPkVCn-Ln-DcsKlag1F6tNxD1DNRexk_U5UZD-A,Patjes#EUW,Iron,EUW1
W6D3ssUTnAsWJWMW5o_IHB1uUQINMhz9YhvtNTiqKi4bJrgNDVqsbmz9drbCr-SCzg4irPAGleY0hQ,RollonL#EUW,Iron,EUW1
1q8xNxwQukS994HQepylBI7q6rCJyYToGCeAh00WZ5zvgKB2F-mU-HvPvVCfxms2lkRd3UFprd2o0Q,Lakerolmaker#EUW,Iron,EUW1
x1PzcCeUTUtTeaTNM__L3z1YU5EXaZAl6xrCmUl25POLkW5ySvbtEE_tarAzsg6K_qQa4uV_FlFZKQ,Lapatatagustavo#ITA,Iron,EUW1
